Company_Name,Company_ID,Change_Count,,before,3.553571429
Leuschke Group,1,0,,after,11.72357724
"Jacobson, Mertz and Kiehn",2,2,,,
"Carroll, Lindgren and Schoen",3,2,,,
"Russel, Wilderman and Mante",4,0,,,
Kunde Group,5,2,,,
Luettgen-Kling,6,2,,,
Sanford Ltd,7,2,,,
Skiles-Adams,8,0,,,
Waelchi-Haag,9,2,,,
Mayert-Lesch,10,0,,,
Hettinger-Parker,11,1,,,
Moore Ltd,12,2,,,
Doyle and Sons,13,2,,,
Jaskolski-Senger,14,2,,,
Corkery PLC,15,0,,,
Lang-Homenick,16,1,,,
Price PLC,17,1,,,
"Schoen, Streich and Wolff",18,2,,,
Barrows-Abshire,19,2,,,
Schmeler Group,20,1,,,
"Weissnat, Lehner and Torp",21,2,,,
"Waters, Lockman and Keebler",22,3,,,
"Wehner, Morissette and Hoppe",23,1,,,
"Okuneva, Reynolds and Buckridge",24,2,,,
"Ernser, Schroeder and Swaniawski",25,2,,,
Ledner-Hoppe,26,1,,,
Schroeder-Blanda,27,2,,,
Robel Ltd,28,2,,,
Legros-Morissette,29,2,,,
"Sporer, Gislason and Abshire",30,2,,,
Hodkiewicz-Gutkowski,31,1,,,
Stracke LLC,32,0,,,
"Bauch, Beahan and Nienow",33,2,,,
"Deckow, Lindgren and Moen",34,2,,,
Farrell-Powlowski,35,1,,,
"Welch, Considine and Tremblay",36,1,,,
Lemke-Jacobs,37,2,,,
Leuschke Group,38,2,,,
Flatley-Harber,39,0,,,
Prosacco Ltd,40,2,,,
Hermiston LLC,41,0,,,
"Dibbert, Boyle and Hane",42,2,,,
Kuphal-Rempel,43,2,,,
Ankunding-Miller,44,0,,,
Schmitt-Collier,45,1,,,
Mayert and Sons,46,2,,,
Goodwin-Auer,47,0,,,
"Streich, Smith and Harris",48,0,,,
Little PLC,49,2,,,
McLaughlin PLC,50,2,,,
Jerde-Hackett,51,2,,,
Stanton Inc,52,0,,,
Leuschke Ltd,53,2,,,
"Ledner, Schmitt and Adams",54,1,,,
Roberts-Willms,55,2,,,
Schowalter Inc,56,2,,,
DuBuque PLC,57,1,,,
Schiller-Bogan,58,0,,,
Collier Ltd,59,2,,,
Satterfield-Halvorson,60,1,,,
Shanahan-Romaguera,61,2,,,
"Huels, Hettinger and Boyer",62,1,,,
"Carter, Windler and Gerhold",63,0,,,
"Cruickshank, Pfannerstill and West",64,0,,,
"Rohan, Beer and Murray",65,1,,,
Beatty-Wisozk,66,2,,,
Champlin-Bosco,67,2,,,
"Kshlerin, Krajcik and Brown",68,1,,,
"Effertz, Schamberger and Koepp",69,2,,,
Terry LLC,70,0,,,
Dietrich-Ebert,71,2,,,
"Schamberger, Terry and Jenkins",72,0,,,
Walsh-Wyman,73,2,,,
Veum-Rowe,74,2,,,
Kshlerin-Hilll,75,2,,,
Hauck-Huel,76,2,,,
Greenfelder-Okuneva,77,1,,,
Osinski Ltd,78,2,,,
"Koelpin, Stiedemann and Ratke",79,2,,,
Roob and Sons,80,2,,,
Smitham-Dickinson,81,2,,,
Walter Ltd,82,1,,,
"Langosh, Hahn and Ullrich",83,2,,,
Padberg LLC,84,0,,,
"Jerde, Breitenberg and Cronin",85,1,,,
Steuber-Miller,86,2,,,
"Hettinger, Bartoletti and Aufderhar",87,0,,,
Terry PLC,88,0,,,
Satterfield and Sons,89,2,,,
Olson-Jacobson,90,2,,,
Kuhlman-Parker,91,1,,,
Breitenberg-Streich,92,2,,,
"Satterfield, Hane and Jones",93,0,,,
"Schuppe, Mitchell and Hilll",94,2,,,
Rutherford-Wisoky,95,2,,,
Kuhlman-Carroll,96,2,,,
Torphy Inc,97,0,,,
Anderson-Hane,98,1,,,
Greenfelder Inc,99,1,,,
"Gusikowski, Lowe and Gutmann",100,1,,,
"Moore, Daugherty and Fadel",101,2,,,
Howell Inc,102,2,,,
Fadel-Wilderman,103,2,,,
"Ernser, O'Keefe and Rice",104,1,,,
Haag PLC,105,2,,,
Waelchi-Wintheiser,106,2,,,
"Pfannerstill, Willms and Rutherford",107,1,,,
"Kutch, Altenwerth and Deckow",108,2,,,
"Heaney, Buckridge and Jast",109,2,,,
"Schneider, Schuster and Robel",110,0,,,
Lehner PLC,111,2,,,
McKenzie-Hahn,112,1,,,
"Ziemann, Kutch and Schiller",113,2,,,
Dicki LLC,114,2,,,
"Ondricka, Brakus and Littel",115,1,,,
Aufderhar-Hahn,116,1,,,
"Mraz, Davis and Schultz",117,0,,,
Casper Ltd,118,2,,,
"Hoeger, Christiansen and Ward",119,2,,,
Walsh Ltd,120,2,,,
Schaefer LLC,121,1,,,
Marvin Group,122,0,,,
"Ratke, Powlowski and Altenwerth",123,1,,,
"Hand, Kautzer and Kunde",124,1,,,
Murphy-Haley,125,1,,,
Wuckert-Champlin,126,1,,,
White Ltd,127,1,,,
"Wisozk, Ferry and Padberg",128,2,,,
Bauch LLC,129,1,,,
Hessel Group,130,3,,,
"Lynch, Halvorson and Schmitt",131,0,,,
Leannon LLC,132,1,,,
Dickinson PLC,133,2,,,
Hegmann Ltd,134,0,,,
McLaughlin LLC,135,0,,,
Ferry PLC,136,1,,,
Osinski Inc,137,4,,,
Berge-Ortiz,138,2,,,
Jacobi PLC,139,1,,,
Feeney-Hayes,140,0,,,
"Crona, Walter and Rutherford",141,2,,,
Mayert-Hane,142,2,,,
O'Kon Group,143,4,,,
"Abshire, Sipes and O'Kon",144,1,,,
